Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"A.Jambahal B.O-ABPM-UR",30155015,"ABPM",,"A.Jambahal B.O","Rourkela Division"
2,"Banko B.O-BPM-ST",30737477,"BPM",,"Banko B.O","Rourkela Division"
3,"Bhutuda B.O-ABPM-UR",30154933,"ABPM",,"Bhutuda B.O","Rourkela Division"
4,"Bimlagarh B.O-BPM-ST",30155389,"BPM",,"Bimlagarh B.O","Rourkela Division"
5,"Dalaisara B.O-ABPM-UR",30268891,"ABPM",,"Dalaisara B.O","Rourkela Division"
6,"Hatibari S.O-Daksevak-UR",30154977,"Daksevak",,"Hatibari S.O","Rourkela Division"
7,"Jarda B.O-ABPM-UR",30154960,"ABPM",,"Jarda B.O","Rourkela Division"
8,"Kaplas B.O-BPM-UR",30268735,"BPM",,"Kaplas B.O","Rourkela Division"
9,"Kaplas B.O-ABPM-ST",30268736,"ABPM",,"Kaplas B.O","Rourkela Division"
10,"Kardega B.O-ABPM-UR",30155006,"ABPM",,"Kardega B.O","Rourkela Division"
11,"Kelo B.O-BPM-UR",30737474,"BPM",,"Kelo B.O","Rourkela Division"
12,"Kelo B.O-ABPM-UR",30742937,"ABPM",,"Kelo B.O","Rourkela Division"
13,"Kulenbahal B.O-ABPM-ST",30155021,"ABPM",,"Kulenbahal B.O","Rourkela Division"
14,"Kuliposh B.O-ABPM-ST",30268892,"ABPM",,"Kuliposh B.O","Rourkela Division"
15,"Kundheidiha B.O-ABPM-UR",30154940,"ABPM",,"Kundheidiha B.O","Rourkela Division"
16,"Kurda B.O-ABPM-UR",30154943,"ABPM",,"Kurda B.O","Rourkela Division"
17,"Lachada B.O-ABPM-UR",30268760,"ABPM",,"Lachada B.O","Rourkela Division"
18,"Luakera B.O-ABPM-UR",30155026,"ABPM",,"Luakera B.O","Rourkela Division"
19,"Mahulpada B.O-BPM-UR",30268893,"BPM",,"Mahulpada B.O","Rourkela Division"
20,"Patmunda B.O-ABPM-ST",30268738,"ABPM",,"Patmunda B.O","Rourkela Division"
21,"Saplata B.O-BPM-ST",30737470,"BPM",,"Saplata B.O","Rourkela Division"
22,"Tamra B.O-ABPM-ST",30631645,"ABPM",,"Tamra B.O","Rourkela Division"
23,"Tendra B.O-ABPM-UR",30155441,"ABPM",,"Tendra B.O","Rourkela Division"
